,file_path,class
64,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_156.jpg,Fire
65,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_157.jpg,Fire
66,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_158.jpg,Fire
67,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_159.jpg,Fire
68,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_16.jpg,Fire
69,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_160.jpg,Fire
70,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_161.jpg,Fire
71,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_162.jpg,Fire
72,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_163.jpg,Fire
73,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_164.jpg,Fire
74,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_165.jpg,Fire
75,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_166.jpg,Fire
76,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_167.jpg,Fire
77,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_168.jpg,Fire
78,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_169.jpg,Fire
79,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_17.jpg,Fire
80,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_170.jpg,Fire
81,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_171.jpg,Fire
82,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_172.jpg,Fire
83,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_173.jpg,Fire
84,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_174.jpg,Fire
85,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_175.jpg,Fire
86,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_176.jpg,Fire
87,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_177.jpg,Fire
88,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_178.jpg,Fire
89,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_179.jpg,Fire
90,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_18.jpg,Fire
91,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_180.jpg,Fire
92,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_181.jpg,Fire
93,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_182.jpg,Fire
94,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_183.jpg,Fire
95,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_184.jpg,Fire
96,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_185.jpg,Fire
97,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_186.jpg,Fire
98,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_187.jpg,Fire
99,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_188.jpg,Fire
100,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_189.jpg,Fire
101,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_19.jpg,Fire
102,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_190.jpg,Fire
103,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_191.jpg,Fire
104,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_192.jpg,Fire
105,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_193.jpg,Fire
106,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_194.jpg,Fire
107,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_195.jpg,Fire
108,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_196.jpg,Fire
109,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_197.jpg,Fire
110,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_198.jpg,Fire
111,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_199.jpg,Fire
112,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_2.jpg,Fire
113,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_20.jpg,Fire
114,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_200.jpg,Fire
115,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_201.jpg,Fire
116,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_202.jpg,Fire
117,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_203.jpg,Fire
118,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_204.jpg,Fire
119,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_205.jpg,Fire
120,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_206.jpg,Fire
121,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_207.jpg,Fire
122,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_208.jpg,Fire
123,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_209.jpg,Fire
124,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_21.jpg,Fire
125,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_210.jpg,Fire
126,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_211.jpg,Fire
127,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_212.jpg,Fire
128,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_213.jpg,Fire
129,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_214.jpg,Fire
130,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_215.jpg,Fire
131,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_216.jpg,Fire
132,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_217.jpg,Fire
133,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_218.jpg,Fire
134,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_219.jpg,Fire
135,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_22.jpg,Fire
136,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_220.jpg,Fire
137,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_221.jpg,Fire
138,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_222.jpg,Fire
139,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_223.jpg,Fire
140,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_224.jpg,Fire
141,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_225.jpg,Fire
142,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_226.jpg,Fire
143,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_227.jpg,Fire
144,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_228.jpg,Fire
145,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_229.jpg,Fire
146,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_23.jpg,Fire
147,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_230.jpg,Fire
148,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_231.jpg,Fire
149,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_232.jpg,Fire
150,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_233.jpg,Fire
151,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_234.jpg,Fire
152,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_235.jpg,Fire
153,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_236.jpg,Fire
154,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_237.jpg,Fire
155,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_238.jpg,Fire
156,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_239.jpg,Fire
157,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_24.jpg,Fire
158,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_240.jpg,Fire
159,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_241.jpg,Fire
160,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_242.jpg,Fire
161,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_243.jpg,Fire
162,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_244.jpg,Fire
163,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_245.jpg,Fire
164,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_246.jpg,Fire
165,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_247.jpg,Fire
166,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_248.jpg,Fire
167,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_249.jpg,Fire
168,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_25.jpg,Fire
169,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_250.jpg,Fire
170,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_251.jpg,Fire
171,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_252.jpg,Fire
172,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_253.jpg,Fire
173,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_254.jpg,Fire
174,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_255.jpg,Fire
175,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_256.jpg,Fire
176,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_257.jpg,Fire
177,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_258.jpg,Fire
178,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_259.jpg,Fire
179,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_26.jpg,Fire
180,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_260.jpg,Fire
181,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_261.jpg,Fire
182,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_262.jpg,Fire
183,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_263.jpg,Fire
184,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_264.jpg,Fire
185,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_265.jpg,Fire
186,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_266.jpg,Fire
187,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_267.jpg,Fire
188,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_268.jpg,Fire
189,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_269.jpg,Fire
190,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_27.jpg,Fire
191,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_270.jpg,Fire
192,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_271.jpg,Fire
193,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_272.jpg,Fire
194,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_273.jpg,Fire
195,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_274.jpg,Fire
196,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_275.jpg,Fire
197,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_276.jpg,Fire
198,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_277.jpg,Fire
199,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_278.jpg,Fire
200,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_279.jpg,Fire
201,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_28.jpg,Fire
202,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_280.jpg,Fire
203,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_281.jpg,Fire
204,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_282.jpg,Fire
205,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_283.jpg,Fire
206,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_284.jpg,Fire
207,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_285.jpg,Fire
208,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_286.jpg,Fire
209,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_287.jpg,Fire
210,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_288.jpg,Fire
211,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_289.jpg,Fire
212,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_29.jpg,Fire
213,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_290.jpg,Fire
214,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_291.jpg,Fire
215,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_292.jpg,Fire
216,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_293.jpg,Fire
217,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_294.jpg,Fire
218,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_295.jpg,Fire
219,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_296.jpg,Fire
220,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_297.jpg,Fire
221,/mnt/d/ChanYoung/Dataset/Fire dataset/FIRE-SMOKE-DATASET/Train/Fire/image_298.jpg,Fire
